WKT,identificatie,rdf_seealso,bouwjaar,status,gebruiksdoel,oppervlakte_min,oppervlakte_max,aantal_verblijfsobjecten,fuuid,latitude,longitude
"POLYGON ((5.89548139041651 51.2990269257516,5.89542686784975 51.2990430382618,5.89542932750748 51.2990463174543,5.89532818204125 51.2990758921394,5.89528419411641 51.2990167754907,5.89539008446707 51.2989858138112,5.89540745923493 51.2990138821565,5.89545993745364 51.2989983179177,5.89548139041651 51.2990269257516))","1640100000025696",http://bag.basisregistraties.overheid.nl/bag/id/pand/1640100000025696,"1961",Pand in gebruik,woonfunctie,"110","110","1",pand.390c9b04-6059-4009-8e04-5274951123be,51.299,5.895
"POLYGON ((5.89536543476541 51.3014710982971,5.89538067992311 51.3014158309463,5.89544420791024 51.3014227176676,5.89544582669102 51.3014174161411,5.89548858652996 51.3014225777802,5.89548708256281 51.3014278877948,5.89549978852489 51.3014292974886,5.89548455729865 51.3014832254497,5.89548250186171 51.3014905244178,5.89541829186769 51.3014829215841,5.89540857419523 51.3015155757182,5.89538764088103 51.3015131861968,5.89536174080468 51.3015103149813,5.89537228268304 51.3014718234619,5.89536543476541 51.3014710982971))","1640100000025698",http://bag.basisregistraties.overheid.nl/bag/id/pand/1640100000025698,"1965",Pand in gebruik,woonfunctie,"118","118","1",pand.7abbe2e8-4940-4dc3-9252-148a87b0709d,51.301,5.895
"POLYGON ((5.89520799481051 51.2995921275671,5.89523773209115 51.299555871394,5.89522207941845 51.2995356877529,5.89530145922929 51.2995112239995,5.89532694364513 51.2995438952167,5.89536188207646 51.2995331177874,5.89540543296801 51.2995915621489,5.89542092386712 51.2995868562304,5.89547256902373 51.2996536788207,5.89544681773896 51.2996615217364,5.89548277819841 51.2997078642154,5.89544658500317 51.299719285372,5.89533908116175 51.2997084198397,5.89529508750247 51.2996514245983,5.8952991028172 51.2996501755888,5.89526957237109 51.2996121197061,5.89525279581597 51.2996172626841,5.89522369916529 51.2995795284961,5.89521203897695 51.2995934762244,5.89520799481051 51.2995921275671))","1640100000025699",http://bag.basisregistraties.overheid.nl/bag/id/pand/1640100000025699,"1963",Pand in gebruik,woonfunctie,"345","345","1",pand.b26ded4f-9f9c-46b9-b4b8-f4ed1b50d4eb,51.300,5.895
"POLYGON ((5.8954386468829 51.3024487159987,5.89543630056719 51.3024569420915,5.89542514763747 51.3024959486499,5.89532534863278 51.3024847797725,5.89533645862813 51.3024457734114,5.89535552079834 51.3023791004765,5.89541247710128 51.3023854945577,5.89541677928611 51.3023687474445,5.89542395473311 51.3023408685256,5.89543512348743 51.3023419972957,5.89543781712782 51.3023340573305,5.89547269097901 51.3023379230608,5.89547032594048 51.302345753725,5.89556548321683 51.3023560438644,5.89554453336259 51.3024321813935,5.89555487028414 51.3024332958079,5.89555004649579 51.302450845216,5.89553636439154 51.3024596871262,5.89547782859769 51.302453111237,5.89548512482614 51.3024257801091,5.89544608862121 51.3024215730046,5.8954386468829 51.3024487159987))","1640100000025700",http://bag.basisregistraties.overheid.nl/bag/id/pand/1640100000025700,"1981",Pand in gebruik,woonfunctie,"318","318","1",pand.63780e16-fe7e-4a0f-8969-5128a3ed8c9d,51.302,5.895
"POLYGON ((5.89536855342604 51.3019143538651,5.89537071302281 51.3019061016221,5.89538746717063 51.3018420904806,5.89551480692914 51.3018554851115,5.89550232124005 51.3019035762802,5.89545308022697 51.3018984789057,5.89544672223767 51.3019224890341,5.89536855342604 51.3019143538651))","1640100000025701",http://bag.basisregistraties.overheid.nl/bag/id/pand/1640100000025701,"1992",Pand in gebruik,woonfunctie,"85","85","1",pand.455a9c01-f802-4b1e-a61e-304628ef74c4,51.302,5.895
"POLYGON ((5.89560719900687 51.2998281134472,5.89550879455991 51.2998567504528,5.89550809743861 51.2998559534864,5.89546787781536 51.2998676349362,5.89546079535372 51.299858685966,5.8954548890668 51.2998510622146,5.89549570888193 51.2998391983699,5.89544488785309 51.2997704305898,5.89554059319692 51.2997414998056,5.89560719900687 51.2998281134472))","1640100000025702",http://bag.basisregistraties.overheid.nl/bag/id/pand/1640100000025702,"1951",Pand in gebruik,woonfunctie,"125","125","1",pand.18d4c87a-edaa-4754-93c1-2353c5afb347,51.300,5.896
"POLYGON ((5.89567091091522 51.2999162228627,5.89553796074811 51.2999561750312,5.89546787781536 51.2998676349362,5.89550809743861 51.2998559534864,5.89550879455991 51.2998567504528,5.89560719900687 51.2998281134472,5.89560858121217 51.299829914176,5.89560560877581 51.2998308170621,5.89567091091522 51.2999162228627))","1640100000025704",http://bag.basisregistraties.overheid.nl/bag/id/pand/1640100000025704,"1951",Pand in gebruik,woonfunctie,"138","138","1",pand.f3ff9e37-9dbd-4be7-ad4e-fd7c910d735f,51.300,5.896
"POLYGON ((5.89570525875015 51.3015081583034,5.89575577820887 51.3015134926834,5.89574056410322 51.3015702251379,5.89563768722889 51.30155933965,5.89564879903054 51.3015179601809,5.89558870391202 51.3015116068968,5.89560634115761 51.3014406524396,5.89561421101381 51.3014417236924,5.89561324268427 51.3014449099902,5.89566243496629 51.3014508254976,5.89566365259334 51.3014468470877,5.89568249085309 51.3014491018911,5.89568113074082 51.3014531618238,5.89571083333931 51.301456268042,5.89571189313746 51.3014522813323,5.89571984633128 51.3014531095138,5.89570525875015 51.3015081583034))","1640100000025705",http://bag.basisregistraties.overheid.nl/bag/id/pand/1640100000025705,"1973",Pand in gebruik,woonfunctie,"155","155","1",pand.c961410d-dd2b-402c-9298-d2cfa695562a,51.302,5.896
"POLYGON ((5.89569763360592 51.3021236070703,5.89567527833226 51.3022061508558,5.89563746319935 51.3022021272475,5.89565019518545 51.3021542686999,5.89560439810678 51.3021494170201,5.8956137911737 51.3021146518993,5.89569763360592 51.3021236070703))","1640100000025706",http://bag.basisregistraties.overheid.nl/bag/id/pand/1640100000025706,"1985",Pand in gebruik,woonfunctie,"45","102","2",pand.6ee272e7-0a24-4b72-ad80-50d00ad8ed96,51.302,5.896
"POLYGON ((5.89564768707241 51.2994162542926,5.89564678602591 51.2994151705734,5.89567396004358 51.2994063416073,5.89565106883878 51.2993786569593,5.89562326066457 51.2993871920573,5.8955812340472 51.2994000949428,5.89553358255954 51.2993390977354,5.89555804682829 51.2993315840221,5.8955556468956 51.2993285203048,5.89557109417678 51.299323769612,5.89557349421016 51.2993268423175,5.89563198262987 51.299308878679,5.89564259915696 51.2993055423604,5.89564658984975 51.2993020821789,5.89568663962058 51.2992893586962,5.89571389964887 51.2993230917491,5.89572951249569 51.2993422597538,5.89578214629929 51.2993264789574,5.89580808453104 51.2993187070608,5.89583283546515 51.2993511566516,5.89583735146804 51.2993498065573,5.89589230219418 51.2993334942286,5.89589895271995 51.2993422832607,5.89564768707241 51.2994162542926))","1640100000025707",http://bag.basisregistraties.overheid.nl/bag/id/pand/1640100000025707,"1974",Pand in gebruik,woonfunctie,"197","197","1",pand.24598edb-99ba-4278-93ec-20cf0e56cd9d,51.299,5.896
