WKT,identifica,rdf_seeals,bouwjaar,status,gebruiksdo,oppervlakt,oppervla_1,aantal_ver,fuuid,longitude,latitude
"MULTIPOLYGON (((6.79432791326594 53.3439936245929,6.79438585441018 53.3440099667021,6.79444287691931 53.3439375431441,6.79438493585138 53.3439212010618,6.79432791326594 53.3439936245929)))","0024100000153784",http://bag.basisregistraties.overheid.nl/bag/id/pand/0024100000153784,2013,Pand in gebruik,,,,0,pand.b105784d-d93d-461e-aa45-a1440fb58e64,6.794,53.344
"MULTIPOLYGON (((6.80104633100654 53.3456499757683,6.80103576707817 53.3455944203674,6.80098999303001 53.3455975376706,6.80100055690018 53.3456530930757,6.80104633100654 53.3456499757683)))","0024100000153785",http://bag.basisregistraties.overheid.nl/bag/id/pand/0024100000153785,2011,Pand in gebruik,,,,0,pand.81842d67-a8f5-47db-9e66-6ff3ec631f50,6.801,53.346
"MULTIPOLYGON (((6.7103066039532 53.3698010736735,6.71018085100482 53.3698354898647,6.7101918405225 53.3698498636642,6.71021707465481 53.3698828348955,6.71029707075175 53.3698609364394,6.7103428277119 53.3698484186666,6.7103390084294 53.3698434374172,6.71036791370998 53.3698355261771,6.71038637452932 53.369830479579,6.71036669750951 53.3698047709702,6.71035395499656 53.3697881160131,6.7103066039532 53.3698010736735)))","0024100000152106",http://bag.basisregistraties.overheid.nl/bag/id/pand/0024100000152106,1980,Pand in gebruik,,,,0,pand.bcbf0ddd-82ec-4c49-8a27-56b9c970be1e,6.710,53.370
"MULTIPOLYGON (((6.7787953004453 53.3691531850958,6.77882744688675 53.3691148731746,6.77876193330932 53.3690952142736,6.77872978682391 53.3691335261777,6.7787953004453 53.3691531850958)))","0024100000152107",http://bag.basisregistraties.overheid.nl/bag/id/pand/0024100000152107,1992,Pand in gebruik,,,,0,pand.013e7ded-5168-4bfd-b4bc-01cb4077f9a9,6.779,53.369
"MULTIPOLYGON (((6.7771063018294 53.3695728799844,6.77701684476116 53.3695385346592,6.77698256731266 53.3695704724754,6.77709441926645 53.3696134195256,6.77709561546803 53.36961230938,6.77712869666555 53.3695814816782,6.77711929447278 53.3695778700036,6.7771063018294 53.3695728799844)))","0024100000152112",http://bag.basisregistraties.overheid.nl/bag/id/pand/0024100000152112,1985,Pand in gebruik,,,,0,pand.23c97ac5-8e5d-4955-aa54-7ccee734e0c1,6.777,53.370
"MULTIPOLYGON (((6.7771701217593 53.3653208993745,6.77719216105778 53.3652394896121,6.77709917415689 53.3652304725472,6.77709210197061 53.3652571087197,6.77704779380591 53.3652528130432,6.77703307045921 53.3653072333275,6.7771701217593 53.3653208993745)))","0024100000155087",http://bag.basisregistraties.overheid.nl/bag/id/pand/0024100000155087,2019,Pand in gebruik,woonfunctie,110,110,1,pand.6acb3bb7-1261-4c9b-9ae8-f76301c52c98,6.777,53.365
"MULTIPOLYGON (((6.77703307045921 53.3653072333275,6.77701833205787 53.3653616537827,6.77706599980116 53.3653662341569,6.77705906701899 53.3653925362228,6.77714839152702 53.3654011822736,6.7771701217593 53.3653208993745,6.77703307045921 53.3653072333275)))","0024100000155088",http://bag.basisregistraties.overheid.nl/bag/id/pand/0024100000155088,2019,Pand in gebruik,woonfunctie,110,110,1,pand.83eca463-693f-4da5-b07d-24f00d931980,6.777,53.365
"MULTIPOLYGON (((6.77711725268814 53.3655111207661,6.77713880180685 53.3654298784377,6.7770473126084 53.365421194488,6.77704022244053 53.3654477410002,6.77699614283684 53.3654435504978,6.77698166915744 53.3654977971471,6.77711725268814 53.3655111207661)))","0024100000155089",http://bag.basisregistraties.overheid.nl/bag/id/pand/0024100000155089,2019,Pand in gebruik,woonfunctie,110,110,1,pand.4eac1826-ce16-4c66-917e-350448d30376,6.777,53.365
"MULTIPOLYGON (((6.76566099174535 53.3477868572621,6.7656988778956 53.3476943581681,6.7656443339173 53.3476863655665,6.76564647895716 53.3476811289153,6.76560786784645 53.3476754608321,6.7656057103784 53.3476807785019,6.76559407836912 53.3476791055913,6.76557604653067 53.347729428957,6.76556154670867 53.3477273036555,6.76554360184949 53.3477719017368,6.7655545551799 53.3477734835825,6.76554171388283 53.3478058107632,6.76553077498152 53.3478042107783,6.76552947928475 53.347806894565,6.76565284714994 53.3478246931419,6.7656821307989 53.3477899668266,6.76566099174535 53.3477868572621)))","0024100000149030",http://bag.basisregistraties.overheid.nl/bag/id/pand/0024100000149030,1930,Pand in gebruik,woonfunctie,214,214,1,pand.d91d4c10-0a6e-4e29-8603-dfd6ee0dfbb6,6.766,53.348
"MULTIPOLYGON (((6.76302612490264 53.3478445313812,6.76312540804827 53.3478605861892,6.76317677716264 53.3477495027387,6.76307791114536 53.3477333353659,6.76302612490264 53.3478445313812)))","0024100000149031",http://bag.basisregistraties.overheid.nl/bag/id/pand/0024100000149031,1900,Pand in gebruik,woonfunctie,122,122,1,pand.8a443372-6477-47ea-ade8-a33d4d168cd5,6.763,53.348
